iter	RMSE
0	0.9551677552
1	0.9267996368
2	0.902099166
3	0.8787224032
4	0.8566812644
5	0.8364283727
6	0.8149927779
7	0.7962159457
8	0.7768541169
9	0.7586214687
10	0.7418268782
11	0.7260602545
12	0.7103521711
13	0.6955496759
14	0.6797566267
15	0.6665747951
16	0.65368864
17	0.6405260901
18	0.6292283636
19	0.6180851569
20	0.6080205626
21	0.5978298522
22	0.5871502952
23	0.5786372288
24	0.5704132281
25	0.5631033085
26	0.5541595181
27	0.5471977958
28	0.5388687815
29	0.531988058
30	0.5256437791
31	0.5189241185
32	0.5127461851
33	0.5068646252
34	0.5015836637
35	0.4967319187
36	0.491609187
37	0.4867274936
38	0.481548737
39	0.4768786789
40	0.4721013189
41	0.4677839705
42	0.464030868
43	0.4595467252
44	0.4563783578
45	0.4524129275
46	0.4479333338
47	0.444489226
48	0.4414863902
49	0.4385692031
50	0.4356908614
51	0.4325450987
52	0.4292756707
53	0.4256961213
54	0.4231867403
55	0.4212382943
56	0.418501454
57	0.4151975772
58	0.413111049
59	0.4106185858
60	0.4079834737
61	0.4058696925
62	0.4036716751
63	0.4013782396
64	0.3989687261
65	0.3975465424
66	0.3946603284
67	0.3924015407
68	0.3902137917
69	0.3886572453
70	0.3866414291
71	0.3847435157
72	0.3830210114
73	0.3816532993
74	0.3805877953
75	0.3787987698
76	0.3770872272
77	0.3753172925
78	0.3734236976
79	0.3709596324
80	0.3696142224
81	0.368039608
82	0.3656394935
83	0.3638272202
84	0.3620146522
85	0.3601733487
86	0.3585896695
87	0.357285006
88	0.3557791374
89	0.354529188
90	0.3526175914
91	0.3505123936
92	0.3489472873
93	0.3482102228
94	0.3473288267
