iter	Passed	Remaining
0	83	41442
1	158	39526
2	231	38294
3	303	37683
4	379	37601
5	456	37599
6	532	37471
7	609	37467
8	687	37508
9	763	37401
10	836	37183
11	909	36978
12	981	36754
13	1055	36626
14	1128	36476
15	1209	36601
16	1289	36647
17	1361	36457
18	1434	36316
19	1509	36223
20	1585	36154
21	1660	36088
22	1734	35967
23	1806	35833
24	1885	35817
25	1960	35738
26	2030	35564
27	2106	35507
28	2177	35362
29	2254	35326
30	2326	35197
31	2396	35055
32	2478	35070
33	2554	35004
34	2635	35020
35	2715	35000
36	2794	34963
37	2867	34860
38	2945	34819
39	3021	34748
40	3099	34694
41	3174	34622
42	3251	34555
43	3326	34479
44	3401	34390
45	3479	34345
46	3556	34281
47	3634	34223
48	3710	34149
49	3787	34086
50	3863	34012
51	3943	33971
52	4021	33916
53	4103	33894
54	4180	33821
55	4259	33772
56	4340	33730
57	4414	33640
58	4491	33571
59	4564	33470
60	4644	33423
61	4715	33309
62	4793	33250
63	4869	33175
64	4945	33094
65	5020	33014
66	5092	32912
67	5168	32835
68	5244	32756
69	5320	32682
70	5398	32618
71	5473	32537
72	5548	32454
73	5621	32364
74	5694	32269
75	5770	32192
76	5844	32108
77	5924	32052
78	5999	31971
79	6070	31870
80	6145	31788
81	6217	31693
82	6291	31609
83	6369	31545
84	6443	31458
85	6518	31381
86	6595	31308
87	6673	31246
88	6760	31220
89	6851	31211
90	6932	31159
91	7004	31064
92	7081	30988
93	7156	30911
94	7231	30829
