formula_pretty,a_site_element,b_site_element,is_in_training,phys_tolerance_factor,phys_octahedral_factor,phys_electroneg_diff_AB,phys_radius_ratio_AB,phys_b_site_valence,phys_a_site_radius,phys_b_site_radius,phys_a_site_en,phys_b_site_en,phys_b_site_row,phys_b_site_group,phys_in_stable_zone,phys_stability_score,pred_energy_above_hull,pred_std,priority
LaTiO3,La,Ti,False,0.9733739232293621,0.43214285714285716,0.43999999999999995,2.2479338842975207,4.0,1.36,0.605,1.1,1.54,4.0,4.0,1,0.5160298312815651,0.005282812499999999,0.003016782080478096,1
PrCoO3,Pr,Co,False,0.9568808183220942,0.4357142857142857,0.75,2.1639344262295084,2.0,1.32,0.61,1.13,1.88,4.0,9.0,1,0.5859452483012662,0.00569375,0.0022138414012751683,1
GdCoO3,Gd,Co,False,0.9122029271724964,0.4357142857142857,0.6799999999999999,1.955737704918033,2.0,1.193,0.61,1.2,1.88,4.0,9.0,1,0.6837225149055886,0.015804687499999994,0.0034654485274050293,1
YbCoO3,Yb,Co,False,0.8858183457849387,0.4357142857142857,0.7799999999999998,1.832786885245902,2.0,1.118,0.61,1.1,1.88,4.0,9.0,1,0.6819400570653943,0.017406249999999998,0.005310363540992272,1
DyCoO3,Dy,Co,False,0.9030562722914764,0.4357142857142857,0.6599999999999999,1.9131147540983608,2.0,1.167,0.61,1.22,1.88,4.0,9.0,1,0.688510581461386,0.01893124999999999,0.0040619566944392746,1
ErFeO3,Er,Fe,False,0.8796477512658075,0.46071428571428574,0.5900000000000001,1.773643410852713,3.0,1.144,0.645,1.24,1.83,4.0,8.0,1,0.7633264102181817,0.019328124999999995,0.009942107324248462,1
YCoO3,Y,Co,False,0.9002419169434703,0.4357142857142857,0.6599999999999999,1.9000000000000001,2.0,1.159,0.61,1.22,1.88,4.0,9.0,1,0.6888302029059462,0.025421874999999993,0.0064137600796549295,1
SrNpO3,Sr,Np,False,0.8769359207728361,0.6357142857142858,0.41000000000000014,1.6179775280898876,,1.44,0.89,0.95,1.36,7.0,3.0,1,0.9008784907572378,0.025481249999999997,0.010734001540082803,1
LaAlO3,La,Al,False,1.0085864165761607,0.3821428571428572,0.51,2.542056074766355,3.0,1.36,0.535,1.1,1.61,3.0,13.0,0,0.26982496049804144,0.032525,0.0051000765925621125,1
SmCoO3,Sm,Co,True,0.9287372648420326,0.4357142857142857,0.71,2.0327868852459017,2.0,1.24,0.61,1.17,1.88,4.0,9.0,1,0.6609685156982139,0.0005015624999999997,0.00046872656191403303,0
PrFeO3,Pr,Fe,True,0.940503885001178,0.46071428571428574,0.7000000000000002,2.046511627906977,3.0,1.32,0.645,1.13,1.83,4.0,8.0,1,0.7179272240673592,0.0008296874999999997,0.0013881324220310352,0
EuFeO3,Eu,Fe,True,0.9010857074680404,0.46071428571428574,0.6300000000000001,1.869767441860465,3.0,1.206,0.645,1.2,1.83,4.0,8.0,1,0.7792543505649306,0.00114375,0.0010061335336325886,0
EuCoO3,Eu,Co,True,0.9167762546130064,0.4357142857142857,0.6799999999999999,1.977049180327869,2.0,1.206,0.61,1.2,1.88,4.0,9.0,1,0.6792067621415856,0.0012968750000000003,0.0009764362418381448,0
YCrO3,Y,Cr,True,0.8980080660329407,0.43928571428571433,0.43999999999999995,1.8845528455284553,3.0,1.159,0.615,1.22,1.66,4.0,6.0,1,0.7020055597077822,0.0013890625,0.0010348693588292921,0
EuCrO3,Eu,Cr,True,0.9145013755693018,0.43928571428571433,0.45999999999999996,1.9609756097560975,3.0,1.206,0.615,1.2,1.66,4.0,6.0,1,0.6948008232103071,0.0014125,0.0007350595213994578,0
AcCrO3,Ac,Cr,True,0.9334511354621423,0.43928571428571433,0.5599999999999998,2.048780487804878,3.0,1.26,0.615,1.1,1.66,4.0,6.0,1,0.6639393405216208,0.0016812499999999994,0.0013259283304537987,0
PrCrO3,Pr,Cr,True,0.954506424231965,0.43928571428571433,0.53,2.1463414634146343,3.0,1.32,0.615,1.13,1.66,4.0,6.0,1,0.6052201037528829,0.0017062499999999999,0.001723051435680316,0
