element,n_train,n_test,test_frac,RMSE,MAE,R2
Ho,4778,136,0.027676027676027677,0.1382141724427205,0.08077248489614186,0.9335661650132673
Pr,4779,135,0.027472527472527472,0.17215234351432127,0.11068121633234186,0.9234226115292908
Ir,4774,140,0.02849002849002849,0.19654703825787906,0.146698127719213,0.8970845460328392
Dy,4777,137,0.02787952787952788,0.1743852591820651,0.09792086592120111,0.8933347440516228
Tm,4774,140,0.02849002849002849,0.1734711659174484,0.12304494106089385,0.8912489180194193
Ru,4777,137,0.02787952787952788,0.18852260055008757,0.13442366096847944,0.8794102140543565
Nd,4779,135,0.027472527472527472,0.21980055309658011,0.1444628206249267,0.8692001885356766
Ce,4775,139,0.028286528286528285,0.23772659261965262,0.1582273127389675,0.8491033832725778
Er,4776,138,0.028083028083028084,0.2062339990841546,0.11137684857079963,0.8489769697745834
Ni,4826,88,0.01790801790801791,0.2231788667923131,0.1548327144049875,0.8437092565082273
Lu,4775,139,0.028286528286528285,0.21361948135113495,0.14781680168183758,0.8424716588058689
Y,4778,136,0.027676027676027677,0.22230426484139346,0.1704366297431807,0.8339652631225235
La,4780,134,0.02726902726902727,0.2575735692993512,0.17839738408352063,0.8240702694578187
Mo,4774,140,0.02849002849002849,0.2508673433737164,0.16312986806125457,0.8240063764320208
Gd,4774,140,0.02849002849002849,0.2339730955453984,0.1582237814780709,0.8139570713966041
Sm,4780,134,0.02726902726902727,0.26330026206564383,0.1623923818217808,0.8072200425095827
Nb,4779,135,0.027472527472527472,0.2644745367938193,0.1905007145519401,0.8035469211728468
Ta,4777,137,0.02787952787952788,0.34464324406343516,0.2517417105516906,0.7968126375833273
Co,4817,97,0.01973951973951974,0.2433607557350108,0.14867940744729596,0.7752042977862996
Pt,4773,141,0.028693528693528692,0.2575214030298536,0.18942570070605963,0.7717842002127706
Pd,4772,142,0.028897028897028897,0.26099845184262,0.18211748984929826,0.7631151548044177
Tb,4772,142,0.028897028897028897,0.26576396807232755,0.20013031425290137,0.7623386200889948
Re,4775,139,0.028286528286528285,0.3423251661204076,0.23808128868750206,0.7555009766113547
Pm,4774,140,0.02849002849002849,0.2950994542745093,0.22488218506948837,0.740091536090451
Fe,4807,107,0.021774521774521775,0.2904118971657849,0.19417756337520958,0.724011330821976
Ti,4777,137,0.02787952787952788,0.3118434893660599,0.21839825336181853,0.721945690740563
Rh,4776,138,0.028083028083028084,0.26424598698899665,0.18778527209239054,0.7196753999978012
Tc,4776,138,0.028083028083028084,0.28648662394166563,0.22470657498776325,0.7159486652292999
Bi,4781,133,0.027065527065527065,0.3107014500775186,0.22974068177642376,0.7106262374217425
W,4774,140,0.02849002849002849,0.42952917366049287,0.3240220872688833,0.6850791245755162
K,4776,138,0.028083028083028084,0.38681564139707464,0.2608629145477161,0.677314972549429
Zn,4774,140,0.02849002849002849,0.31084039204586766,0.22883829504981001,0.6715599487250616
