n_test,r2_pure_ml,r2_krr_ml,r2_sr_ml,r2_krr_only,r2_sr_only,element
71,0.3299831855242027,0.5470542087263064,0.47196170921678116,0.7062888652950712,-0.3977328803251339,Ac
71,0.8591665048587108,0.9089818003908678,0.8780993723027677,0.7336088611559759,-0.10936356556170512,Ag
72,0.3311460801867787,0.5501130125197755,0.42519478981661607,0.5071063889893519,0.125169669813595,Al
73,0.6598362009870183,0.6558973059835784,0.6281266891543205,0.5683008961112582,0.24888565789786365,As
73,0.8537935711193316,0.6090668393157038,0.7758293853536912,0.49018125972954074,-0.18836964847153448,Au
73,-0.8799031087698204,-0.508825328906354,-0.6939518067603556,-0.3402382487604594,-1.0674509292470447,B
72,0.9392629294830274,0.94705992051701,0.9072720924176793,0.831424476199945,0.12719664881648562,Ba
73,0.482580174210943,0.432261888225107,0.6594103661397342,0.4033448504936872,-0.20357707121363777,Be
72,0.7217333068432125,0.34569954821642424,0.7553797489174504,-0.25593311507289807,-0.18436001532718405,Bi
64,0.8050987693451734,0.6463647820732193,0.8597623620793093,0.48965742871848483,0.06275809670348187,Ca
72,0.8672283756877257,0.9124354728149269,0.8513048452415388,0.7877836238238094,0.20821957236731725,Cd
71,0.8706466978301576,0.895855865040228,0.771440623113875,0.7634763752350618,-0.15532711060048698,Ce
64,0.6587438504398405,0.7866690633249381,0.6245988232255152,0.8068789137385108,0.3219187082221222,Cr
64,0.9191058723143191,0.8661965214387842,0.8736025681265647,0.7889497323660455,-1.9796317438315274,Cs
72,0.874923134333177,0.8407149489235235,0.8953385959151657,0.5630067683334014,0.12057313463530694,Cu
70,0.9433678085153339,0.9386247165168005,0.9353908961722706,0.8581119410894193,0.17307691588061092,Dy
71,0.8609429375627959,0.8708336410783168,0.8655493788951829,0.8200901185587259,0.17490667902280133,Er
73,0.7480766638884988,0.7176560318171512,0.7389917739432368,0.6437079003568372,-0.08633048224998796,Eu
72,0.7258557784588865,0.8061381399511576,0.7473241311880323,0.7567426691839751,0.32935573644009175,Ga
71,0.9219928335943312,0.9263228024676489,0.9052552543975312,0.8652113974993608,0.09766042327845403,Gd
69,0.588173537057773,0.5885858758977316,0.6029082458743094,0.4801891018639378,0.383773922467441,Ge
68,0.6636725141162598,0.6161010098443589,0.6399118939470058,0.4252758005973566,0.20939011820803388,Hf
73,0.7923297740704517,0.7611148278260735,0.8584999259423314,0.5925719513505829,-0.12130684533896408,Hg
71,0.9308121784156964,0.9340713532533731,0.9274379951906359,0.8423402766775685,0.1940047517325113,Ho
66,0.6609552255273495,0.6536751705176767,0.5103541056460035,0.6825567186014206,0.09039540179999395,In
72,0.708883401578259,0.7180814864156838,0.678258073136184,0.657573427824244,-0.6264803250973285,Ir
73,0.9262689509117625,0.7357680176669137,0.9131999112073298,0.738923532720118,-2.3241020187215535,K
67,0.9093233716573373,0.9066656723498587,0.8363686244747565,0.6859317148567905,-0.1504614472621566,La
72,0.8963235155961776,0.6731996958500718,0.9082695621238058,0.24961336585451022,-0.8739744404126608,Li
72,0.7742062854120308,0.8012971204181154,0.8087719528728048,0.7804784519823785,0.27837850785120644,Lu
71,0.6823285072141648,0.7040390653907,0.7123833320316628,0.6681892419453137,-0.14319456830348098,Mg
71,0.6830722439686576,0.7729438324224096,0.7274592796746744,0.8235457285829482,0.19838856291444718,Mn
70,0.7650601655551147,0.7332173940496778,0.5212467289887543,0.3966995521550247,0.08097531821024462,Mo
73,0.936853485429339,0.6105772670722938,0.9228380781022258,0.4795751826995138,-0.9148235585547013,Na
68,0.7327769162189923,0.7268589628382012,0.6965159269774276,0.34876997708588753,0.1453788346871785,Nb
71,0.8729119745508941,0.889528448607134,0.8889317482080421,0.8273785342785788,-0.17525447430125474,Nd
69,-0.888437310849185,-0.875023030118659,-1.0938553887788278,-0.45166485659918165,-2.359055111507258,Os
52,0.3193873154296911,0.2888217595809768,0.3630477316571893,0.23063942188147413,0.12099551973208655,Pa
62,0.5889486278886171,-0.7457195166930475,-0.33720889076407135,-2.458066465375548,-1.3107400829019267,Pb
72,0.8191171833471317,0.7955463237618943,0.744944698172532,0.684069540415265,-0.01759430984757482,Pd
71,0.8256126180869356,0.7317401989339158,0.8303689325883,0.764642742243016,0.029629264534753674,Pm
69,0.9476246658994556,0.9417401194856283,0.9405346850928634,0.7789810965479425,0.15969869058872543,Pr
71,0.8105617222126967,0.7716959379165833,0.835429345651634,0.7595027485874685,-0.20233887687267837,Pt
72,0.9602655367378644,0.9018973428188004,0.9422011746791813,0.7440188146961437,-1.3992225015856214,Rb
70,0.6436502262903898,0.6264746936960996,0.5528013987546678,0.3109110170032908,-1.0168284562136667,Re
71,0.8412498275168007,0.8720926676648268,0.7605927366069554,0.7919518601654862,0.1256490484675381,Rh
69,0.8953733408982618,0.8852707227951682,0.7857655043323458,0.7191882331366315,0.25544562148238625,Ru
72,0.48435858865268266,0.10897572026458102,0.5927468725177363,0.03620058734579357,0.22517349294197386,Sb
70,0.64087793789443,0.44936536633600077,0.6514980313407146,0.2928233262760943,0.3379513736440458,Sc
73,0.6275839651217097,0.5326800874682671,0.5273620481498674,0.563233544859197,-0.047753672323757046,Si
70,0.8718710218000112,0.897053167706855,0.8840628294571506,0.8343443385546727,0.12179792194022332,Sm
70,0.6540316343010564,0.2388414390750564,0.6649917968968857,-0.013619225746529962,0.03706827928603518,Sn
71,0.9045584095381742,0.9085879604919341,0.855075680491623,0.8488432938262975,0.13694408168102468,Sr
70,0.5020686708044929,0.6198195392738739,0.6555953227754929,0.21910776214523697,-0.12356146022590786,Ta
72,0.708843172567672,0.7033706810719904,0.7130738099558325,0.6236587188718019,0.2783091334354778,Tb
69,0.6510858578110037,0.6805697069558512,0.6379752133525423,0.5493075688135644,0.2526044763101095,Tc
73,0.3033744912367762,0.3722172812843384,0.2972485767889129,0.3696435705515273,0.29484503349016133,Te
69,0.5847861919679818,0.5714147526576412,0.5991569651834527,0.6957885543838722,0.18256372790281072,Th
69,0.7868637816734452,0.7243219689744148,0.7295467978511375,0.37302000458323403,0.24789909914845565,Ti
73,0.8529714827067727,0.5072093651979993,0.8083993986298579,0.2647561033257215,0.30717161135411286,Tl
71,0.8697296243833919,0.8905436172742209,0.8840854977469863,0.8183691769863041,0.12548786032479586,Tm
56,0.6639083052912644,0.5622759356740465,0.665706252450897,0.09415998840158224,-0.3390293203160031,U
64,0.7242235870323549,0.7366594386276313,0.7330838018946244,0.31951094428042814,0.25830567892684,V
71,0.6795875043277422,0.4503559159723294,0.709818543277039,0.16188928306135386,0.1251743900529706,W
68,0.8897831233250214,0.7680328848704302,0.7916112476978652,0.606111590868297,0.27618856409350223,Y
71,0.764804880813994,0.6691325442325589,0.7747609666633133,0.4918558270058947,0.09411717977081313,Yb
70,0.821541696738859,0.7301088522244414,0.7325497505719372,0.34382740458133576,-0.17614796537217803,Zn
70,0.5668589765508213,0.7211567048696765,0.5377726106516763,0.6225985277770041,0.30258540536274015,Zr
