seed,R2,RMSE,MAE,target
42,0.9101436211897145,0.295429941984689,0.19455800561597408,formation_energy_per_atom
123,0.9029408706599296,0.3070423267486011,0.1986830096515641,formation_energy_per_atom
456,0.9041730501533369,0.3050871284774617,0.1988050050935175,formation_energy_per_atom
789,0.9048469880378294,0.30401241746196817,0.19971853283667995,formation_energy_per_atom
2024,0.9111226567673365,0.29381609666048747,0.19314656398108646,formation_energy_per_atom
42,0.7998190399170351,0.2739199751263171,0.17701764177756607,energy_above_hull
123,0.7875202171981468,0.2822091732944971,0.17953658464671832,energy_above_hull
456,0.7940036394445897,0.2778702766200722,0.17788657340044683,energy_above_hull
789,0.7969962301195682,0.27584452673353616,0.176634761171616,energy_above_hull
2024,0.7977887126419989,0.27530558174858066,0.17664171727410588,energy_above_hull
