y_true,oof_mu,oof_sigma,oof_mu_p,cqr_lower,cqr_upper,std_lower,std_upper,abs_err,trust_sigma
-2.732,-2.4013165417384097,0.015594952466502499,-2.4299688699111277,-2.9618599679023188,-2.05452601611391,-2.8594811188181857,-2.2469641353602134,0.3306834582615905,1
-1.957,-2.031113284475429,0.05183478303158014,-1.5756910987428605,-2.2844801067501925,-1.5983240661954516,-2.100395689112993,-1.5002801606179863,0.07411328447542886,0
-3.532,-3.5286938691298735,0.04650962249673723,-3.1966745546467576,-3.5308931194295248,-2.4404132721373597,-3.7199420997644967,-3.11982657126949,0.0033061308701265446,0
-2.398,-2.224200235796176,0.0749621357773553,-2.089733314815572,-2.5347014111166803,-1.7736442719184957,-2.5904041928027377,-1.9911819596126092,0.17379976420382404,0
-2.006,-1.921450858888785,0.01630102624569525,-1.3825455023930238,-2.1497170764010702,-1.50975769301589,-2.381488153798456,-1.7822659206083273,0.0845491411112147,1
-2.316,-2.182325836195768,0.0767414117561202,-2.1556275738383475,-2.800782414549853,-1.947139499233798,-2.5558815133500215,-1.956659280159893,0.13367416380423203,0
-2.741,-2.599767539401963,0.10397444685424151,-2.2760320689946196,-2.9158845916808436,-2.012294798686928,-3.0981619830551326,-2.481665379852858,0.14123246059803707,0
-2.715,-2.868903673770463,0.06873076588506877,-2.503584473252376,-3.078101046419226,-2.658646653263207,-3.373799531836709,-2.7612825483787367,0.1539036737704631,0
-2.5,-2.0972260437216868,0.032934422587816245,-1.717792945095997,-2.382395305997041,-1.7388538599371475,-2.242888995059693,-1.6156123182760405,0.40277395627831325,0
-2.964,-2.3789362664772655,0.034899363157106365,-2.0017445658153794,-2.8375805107530976,-2.3130075384319015,-2.7917897212380076,-2.192567488047879,0.5850637335227344,0
-2.224,-2.2993459674816,0.05770466167715104,-1.9090509438741061,-2.696601964314225,-1.8458189496261233,-2.5818814809899164,-1.982659247799788,0.07534596748159972,0
-2.864,-2.8111222917289838,0.024118190562716257,-2.4535361255785997,-3.0511648592804295,-2.406427648795587,-3.057917240014331,-2.4578017115193243,0.05287770827101612,1
-2.426,-2.4658522844943014,0.033079197598580044,-2.241431887648097,-2.6824804059531506,-2.1768578377445187,-2.785321286148183,-2.1580446093645307,0.03985228449430123,0
-3.138,-3.147623357940844,0.023490959133861813,-3.03015968055632,-3.270256568535071,-2.512829859963657,-3.447187296096292,-2.8470717676012844,0.009623357940844013,1
-1.602,-1.3806009453183041,0.13283341753612965,-0.9577214888944847,-2.1857182949530456,-0.8976557318530363,-2.310058529843108,-1.6935619266408337,0.22139905468169596,0
-2.241,-2.3037512278290975,0.013569436404466444,-1.9524019945497528,-2.582662997015656,-1.9914559094843938,-2.7096136968707265,-2.109498168375719,0.06275122782909737,1
-3.712,-3.555875470179192,0.02941611519859427,-2.993788449830936,-3.760352153085484,-2.6394839825278202,-3.693491137704494,-3.094268904514365,0.15612452982080827,1
-3.748,-3.8641340569205624,0.03758184489222958,-2.925508567618357,-3.8799703428555854,-2.72012124384015,-4.071084769452632,-3.44380809266898,0.11613405692056222,0
-3.04,-3.2221847551879024,0.07584101851307729,-2.8237038776179904,-3.3847350259452567,-2.4091117545443543,-3.3578047179979706,-2.7452877345399984,0.18218475518790234,0
-2.7310000000000003,-2.83278360120934,0.007294091445743969,-2.672114292263132,-2.802219161094502,-2.284410673988927,-2.963465731431812,-2.3361890546481594,0.10178360120933982,1
-2.914,-2.9738640092498168,0.024429781507633665,-2.4809457312387897,-2.9148832285498694,-2.1781693034945757,-3.1522121004578647,-2.552096571962857,0.05986400924981661,1
-3.67,-3.389972154576177,0.05879238044230115,-3.065378456030115,-3.4628956678030685,-2.524371329685462,-3.5091685839981563,-2.909053055503149,0.280027845423823,0
-2.547,-2.570817668082393,0.05551495793980612,-2.37300007404941,-2.5825352148297753,-2.1876165603157784,-2.77801902255476,-2.1655020390967876,0.023817668082392718,0
-3.414,-3.6845099957133947,0.04082730298968303,-3.274618779969409,-3.5457931681448454,-2.9081954696062993,-3.8162760947000884,-3.188999417916436,0.2705099957133945,0
-1.951,-1.9237163617628852,0.022210807255637437,-1.6355003413147,-2.646215298126756,-1.479169522515344,-2.2226586809759934,-1.6234364477858652,0.027283638237114882,1
-3.731,-3.8033483516642717,0.011607397660011716,-2.9476929064261386,-3.7635561757339193,-2.6085419074943985,-4.002490429467535,-3.385993826265261,0.07234835166427178,1
-2.748,-2.5897850733255283,0.0275039013411008,-2.1678735835818177,-2.6543651285151295,-1.771643559887298,-2.7666935126087724,-2.13941683582512,0.1582149266744719,1
-2.194,-2.15421140445423,0.016697870791809896,-1.9416059542610462,-2.2844308313438106,-1.7553090945693368,-2.463715319425428,-1.8635997909304207,0.039788595545769745,1
-1.973,-2.0365466647733705,0.053863213680992075,-1.512901070360821,-2.2702245123382006,-1.2456378939029575,-2.30070242083157,-1.7005868923365626,0.06354666477337045,0
-2.983,-2.9041835582328455,0.06289756338822361,-2.540079460465511,-3.154373665831052,-2.340742643663262,-3.2159549131873444,-2.588678236403692,0.07881644176715463,0
-2.248,-2.6898532961238404,0.03536701449584722,-1.933052822446266,-2.6892968944344613,-1.8464784685454765,-3.0523053088036556,-2.435808705601381,0.44185329612384017,0
-3.793,-3.901927109631004,0.06110440831401382,-3.1148265128856942,-3.8880000653918305,-2.8303170161588906,-4.133581785977762,-3.5063051091941104,0.10892710963100383,0
-2.918,-2.937193563513736,0.043364643531162005,-2.735065726072825,-3.1246583253601905,-2.4348290923091116,-3.2648348664520825,-2.648338263249808,0.01919356351373569,0
-2.638,-2.661800502538337,0.015827961446376843,-2.4510674480342804,-2.72355705357296,-2.3575689150806842,-2.937894279658083,-2.3106176028744305,0.02380050253833721,1
-2.955,-2.9465926108784584,0.0416733655542802,-2.9174315835837232,-3.118416830424377,-2.6591980016100756,-3.382816885022132,-2.7835946518320034,0.008407389121541708,0
-3.029,-3.030586704413822,0.07363983057643686,-2.599182956497984,-3.0874807357622926,-2.5075397447777803,-3.4234057018686137,-2.8108887184106415,0.0015867044138220265,0
-2.365,-2.4039821097670258,0.0120747343858357,-2.1548699322404947,-2.6828100211049963,-2.105477680616343,-2.734037396355326,-2.1339218678603196,0.03898210976702554,1
-3.018,-2.9253358593756214,0.02778826874634204,-2.9022027896996754,-3.1600714614742937,-2.5689867675378086,-3.25344524322926,-2.6533297147342534,0.09266414062437844,1
-2.146,-2.14078314972818,0.053285410680643165,-1.861055654789645,-2.263844116861243,-1.7958473755415545,-2.4143103979369274,-1.81419486944192,0.0052168502718199505,0
-2.693,-2.5096207761684477,0.029454170026068708,-2.5705274131697062,-3.2091731572395363,-2.3513143841582047,-3.0018232461353245,-2.401707717640317,0.18337922383155236,1
-2.369,-2.0485478545305194,0.041045061539364984,-1.6682778940590324,-2.177576165662755,-1.6628447269421112,-2.202521645307675,-1.602406116812668,0.32045214546948086,0
-2.171,-2.0683903382096025,0.03668334411754458,-1.727888840940303,-2.3539203817098935,-1.7379380080195814,-2.523142595104412,-1.9106256116464397,0.10260966179039732,0
-3.111,-2.824001089319283,0.03865199832059142,-2.498822310969228,-3.0802425815718104,-2.412830290283486,-3.278617672094598,-2.6661006886366256,0.28699891068071715,0
-2.9530000000000003,-2.920458881263322,0.02539670018737167,-2.540917011381563,-3.1417697756314418,-2.353322658389345,-3.333135331089608,-2.7058586543059557,0.03254111873667842,1
-2.101,-2.0550869373816205,0.05363960072717916,-1.722285553146353,-2.2018822960382063,-1.7442318721812795,-2.3423483344143374,-1.725851731212063,0.04591306261837946,0
-3.005,-2.8971706516983904,0.03049183474595408,-2.787229355556014,-3.3118407350057937,-2.46255600263934,-3.21859455913231,-2.591317882348658,0.1078293483016095,1
-1.914,-1.9237313334987522,0.026300142274587407,-1.302891453403241,-2.17847002848106,-0.8220468928982145,-1.9493934679029858,-1.3492779394079788,0.009731333498752326,1
-2.286,-1.9317275645456589,0.050109068731194674,-2.1690642550292143,-2.4183001829318673,-2.0369011898711236,-2.6782839841696546,-2.0510073073860022,0.3542724354543412,0
-2.334,-2.1589241079096406,0.006697680811367602,-1.9445486809586534,-2.36354931178667,-1.937941945578362,-2.5168685645126905,-1.900371961310416,0.17507589209035945,1
-2.345,-2.3405912857518447,0.020117133730572258,-2.2208526991112594,-2.433656410493058,-1.9679864715990587,-2.639339126672633,-2.0268221432146607,0.004408714248155476,1
-2.465,-2.2247155141879857,0.02341174461992367,-2.0121368855213886,-2.3706160537670433,-1.7160104883080753,-2.4854187744038656,-1.8861965412137376,0.24028448581201411,1
-3.762,-3.8842810574355036,0.04856710962476972,-3.315008556452856,-3.77627334822128,-2.8932418925269503,-4.054712368624925,-3.4274356918412723,0.12228105743550355,0
-2.778,-2.712656946631619,0.050226802890373526,-2.7303879754442972,-3.0621293862204473,-2.4158001400671774,-3.1200329434723013,-2.503536340270027,0.0653430533683812,0
-3.608,-3.227117559976465,0.05927562339199189,-2.8099033448719775,-3.19632396199356,-2.405990779435353,-3.3168638466388956,-2.716748318143889,0.3808824400235351,0
