y_true,oof_mu,oof_sigma,oof_mu_p,conf_lower,conf_upper,abs_err,trust_sigma,trust_knn,trust_lev
-2.732,-2.554695984914832,0.04215220044649116,-2.5251380333608786,-2.872767664512734,-2.2366243053169304,0.17730401508516813,0,1,1
-1.957,-2.0070855136050985,0.05331606671686575,-1.9447226123777193,-2.3369199442006408,-1.6772510830095562,0.050085513605098386,0,1,1
-3.532,-3.475920882786745,0.02785289449025716,-3.1800914318822966,-3.8057553133822872,-3.1460864521912026,0.05607911721325509,1,1,1
-2.398,-2.226858540565208,0.04350551389792302,-2.168599538458434,-2.5221985559874947,-1.9315185251429214,0.17114145943479198,0,1,1
-2.006,-2.020138166879545,0.04811520879758211,-1.7280391289978765,-2.315478182301832,-1.7247981514572583,0.014138166879545278,0,1,1
-2.316,-2.201702942955349,0.049439578844453755,-2.084938624588975,-2.4970429583776355,-1.9063629275330622,0.11429705704465087,0,0,0
-2.741,-2.6784410682980084,0.08033091964218284,-2.3904958363782107,-2.993789099093739,-2.363093037502278,0.06255893170199167,0,1,1
-2.715,-2.913025766441963,0.04626121615917829,-2.6989212826237847,-3.2310974460398647,-2.5949540868440613,0.19802576644196312,0,0,1
-2.5,-2.11125478621653,0.07577984855371678,-1.9553311016173969,-2.437558926806909,-1.7849506456261506,0.38874521378347016,0,1,1
-2.964,-2.660859533856502,0.047071160832241166,-2.444049224697897,-2.9561995492787885,-2.3655195184342155,0.303140466143498,0,1,1
-2.224,-2.3919712663308124,0.036626127645514074,-2.361087824635417,-2.6873112817530993,-2.0966312509085254,0.16797126633081216,1,1,1
-2.864,-2.749037454802768,0.02602214568563279,-2.6546362387171727,-3.07887188539831,-2.4192030242072255,0.11496254519723204,1,1,1
-2.426,-2.495708912286273,0.01975280175544709,-2.570207874436582,-2.822013052876652,-2.1694047716958935,0.06970891228627263,1,1,1
-3.138,-3.138646046881259,0.02345719006005987,-3.2652643625433524,-3.468480477476801,-2.8088116162857166,0.0006460468812590214,1,1,1
-1.602,-1.633775330225456,0.04401008867570086,-1.1847503685946474,-1.9491233610211869,-1.3184272994297253,0.03177533022545598,0,1,1
-2.241,-2.5224784743157302,0.03989202864965416,-2.5181591632937947,-2.8523129049112725,-2.192644043720188,0.28147847431573014,1,1,1
-3.712,-3.531722587322751,0.02521376939949395,-3.366607580101002,-3.8270626027450376,-3.2363825719004646,0.18027741267724906,1,1,1
-3.748,-3.8174230975531165,0.019282414425676762,-3.3241038935143994,-4.143727238143496,-3.491118956962737,0.06942309755311626,1,1,1
-3.04,-3.3929272675542186,0.054945749497646974,-3.25729437426336,-3.7109989471521203,-3.074855587956317,0.35292726755421855,0,1,1
-2.7310000000000003,-2.9291044908936716,0.02935182382848038,-3.076260758294591,-3.255408631484051,-2.6028003503032924,0.19810449089367133,1,1,1
-2.914,-3.093368000376678,0.035050826268125966,-2.880376059297642,-3.4232024309722204,-2.763533569781136,0.179368000376678,1,1,1
-3.67,-3.3915366521703025,0.03242774423396942,-3.227610513502809,-3.721371082765845,-3.0617022215747602,0.2784633478296974,1,1,1
-2.547,-2.5281764869117294,0.04786279781716374,-2.47830128868081,-2.846248166509631,-2.2101048073138276,0.018823513088270794,0,1,1
-3.414,-3.67209724626798,0.046715708744170886,-3.2843347270377174,-3.9984013868583594,-3.345793105677601,0.25809724626798003,0,1,1
-1.951,-1.949604223968305,0.028708799713135433,-1.7640194477818083,-2.2449442393905916,-1.6542642085460182,0.0013957760316951617,1,1,1
