feature,shap_importance,category,target
phys_a_site_en,0.2430778550441216,physical,formation_energy_per_atom
magpie_mendeleev_no_min,0.17801269221905774,magpie,formation_energy_per_atom
phys_b_site_group,0.15049286261597578,physical,formation_energy_per_atom
phys_electroneg_diff_AB,0.11160341491991892,physical,formation_energy_per_atom
phys_tolerance_factor,0.057742923226102735,physical,formation_energy_per_atom
phys_b_site_en,0.05229377653228532,physical,formation_energy_per_atom
phys_octahedral_factor,0.04825411325060762,physical,formation_energy_per_atom
magpie_Z_max,0.046909601883476565,magpie,formation_energy_per_atom
magpie_X_std,0.04168498876390992,magpie,formation_energy_per_atom
magpie_density_max,0.03858527940854022,magpie,formation_energy_per_atom
phys_stability_score,0.03743068905769303,physical,formation_energy_per_atom
magpie_mendeleev_no_std,0.03636374464652191,magpie,formation_energy_per_atom
magpie_density_min,0.03444914482028202,magpie,formation_energy_per_atom
phys_a_site_radius,0.03340308767761735,physical,formation_energy_per_atom
phys_b_site_valence,0.03224862846461297,physical,formation_energy_per_atom
phys_radius_ratio_AB,0.02797949785622263,physical,formation_energy_per_atom
magpie_melting_point_mean,0.026692990246137745,magpie,formation_energy_per_atom
magpie_brinell_hardness_min,0.02493110837053999,magpie,formation_energy_per_atom
magpie_mendeleev_no_mean,0.024697303985265845,magpie,formation_energy_per_atom
magpie_rigidity_modulus_min,0.024164025010471216,magpie,formation_energy_per_atom
phys_a_site_radius,0.12946107012672206,physical,energy_above_hull
phys_tolerance_factor,0.0963078296202335,physical,energy_above_hull
magpie_rigidity_modulus_min,0.09336309745299466,magpie,energy_above_hull
magpie_melting_point_mean,0.05096951322489854,magpie,energy_above_hull
phys_stability_score,0.039794141352605845,physical,energy_above_hull
phys_b_site_group,0.038738664504448204,physical,energy_above_hull
phys_a_site_en,0.034896126312080014,physical,energy_above_hull
phys_octahedral_factor,0.031797234928093956,physical,energy_above_hull
magpie_mendeleev_no_std,0.03122438383551711,magpie,energy_above_hull
magpie_group_std,0.024498040617382467,magpie,energy_above_hull
magpie_Z_max,0.021269309604878415,magpie,energy_above_hull
phys_b_site_en,0.020338871048440173,physical,energy_above_hull
magpie_melting_point_wmean,0.018945646434101033,magpie,energy_above_hull
phys_electroneg_diff_AB,0.018259981276833363,physical,energy_above_hull
magpie_thermal_conductivity_std,0.016733552028823248,magpie,energy_above_hull
phys_b_site_valence,0.015964248767999487,physical,energy_above_hull
magpie_X_std,0.01436458365240266,magpie,energy_above_hull
magpie_density_mean,0.013495609891898718,magpie,energy_above_hull
magpie_mendeleev_no_wmean,0.012704633685641658,magpie,energy_above_hull
phys_radius_ratio_AB,0.012455568750128303,physical,energy_above_hull
