seed,model,R2,MAE,target
42,LightGBM,0.9112730802795787,0.19206698589895776,formation_energy_per_atom
42,RF,0.8890573473040781,0.2198903195867184,formation_energy_per_atom
42,XGBoost,0.9101508925985908,0.19265374399660368,formation_energy_per_atom
123,LightGBM,0.9026698689943506,0.19578159471614606,formation_energy_per_atom
123,RF,0.8839755146162221,0.22163576415460362,formation_energy_per_atom
123,XGBoost,0.9047292558366404,0.19466801637075984,formation_energy_per_atom
456,LightGBM,0.9077461367485472,0.19424564984450293,formation_energy_per_atom
456,RF,0.8834208157668292,0.22500977312955778,formation_energy_per_atom
456,XGBoost,0.9050757327150972,0.19641894278928995,formation_energy_per_atom
789,LightGBM,0.9073308152273523,0.1950890018560141,formation_energy_per_atom
789,RF,0.889189403092453,0.21905261321460728,formation_energy_per_atom
789,XGBoost,0.9086233264273927,0.19468901734012697,formation_energy_per_atom
2024,LightGBM,0.9123578142319756,0.1908896592579697,formation_energy_per_atom
2024,RF,0.8927493684693993,0.2174832655683698,formation_energy_per_atom
2024,XGBoost,0.9106157956128954,0.1913203017636908,formation_energy_per_atom
